Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-23 09:30:00-04:00,413.25,413.25,408.2900085449219,409.3999938964844,657876,0.0,0.0
2024-05-23 10:30:00-04:00,409.44000244140625,409.8900146484375,408.89739990234375,409.5,228181,0.0,0.0
2024-05-23 11:30:00-04:00,409.5513000488281,410.3999938964844,409.2799987792969,409.30499267578125,232384,0.0,0.0
2024-05-23 12:30:00-04:00,409.3561096191406,409.7699890136719,407.6499938964844,408.0400085449219,229730,0.0,0.0
2024-05-23 13:30:00-04:00,408.1000061035156,408.1000061035156,404.8699951171875,405.17999267578125,426271,0.0,0.0
2024-05-23 14:30:00-04:00,405.0799865722656,407.1199951171875,405.0199890136719,406.7650146484375,305242,0.0,0.0
2024-05-23 15:30:00-04:00,406.7449951171875,407.010009765625,405.32000732421875,406.05999755859375,457020,0.0,0.0
2024-05-24 09:30:00-04:00,406.8999938964844,407.9100036621094,406.2200012207031,407.04010009765625,387814,0.0,0.0
2024-05-24 10:30:00-04:00,407.0400085449219,407.95989990234375,406.1400146484375,407.239990234375,216775,0.0,0.0
2024-05-24 11:30:00-04:00,407.20001220703125,407.6600036621094,406.25,407.3999938964844,188465,0.0,0.0
2024-05-24 12:30:00-04:00,407.44000244140625,407.44000244140625,406.7900085449219,407.19500732421875,115648,0.0,0.0
2024-05-24 13:30:00-04:00,407.1842041015625,407.25,406.79998779296875,406.95001220703125,115913,0.0,0.0
2024-05-24 14:30:00-04:00,406.95001220703125,407.20001220703125,406.35101318359375,406.6099853515625,174989,0.0,0.0
2024-05-24 15:30:00-04:00,406.6000061035156,407.4800109863281,405.5,407.4100036621094,383642,0.0,0.0
2024-05-28 09:30:00-04:00,408.239990234375,408.239990234375,404.07000732421875,404.260009765625,549562,0.0,0.0
2024-05-28 10:30:00-04:00,404.260009765625,404.55999755859375,403.4599914550781,404.1000061035156,330824,0.0,0.0
2024-05-28 11:30:00-04:00,404.1000061035156,404.19000244140625,403.4800109863281,403.635009765625,249159,0.0,0.0
2024-05-28 12:30:00-04:00,403.6899108886719,403.70989990234375,402.55999755859375,402.69610595703125,251981,0.0,0.0
2024-05-28 13:30:00-04:00,402.6199951171875,403.05999755859375,402.2294006347656,402.56988525390625,224487,0.0,0.0
2024-05-28 14:30:00-04:00,402.5150146484375,402.7690124511719,401.8699951171875,402.54998779296875,298043,0.0,0.0
2024-05-28 15:30:00-04:00,402.5256042480469,404.1499938964844,402.5249938964844,404.1499938964844,438143,0.0,0.0
2024-05-29 09:30:00-04:00,403.0,403.84991455078125,401.6400146484375,401.79998779296875,521431,0.0,0.0
2024-05-29 10:30:00-04:00,401.8399963378906,402.614990234375,401.5799865722656,402.3450012207031,266563,0.0,0.0
2024-05-29 11:30:00-04:00,402.3500061035156,404.54998779296875,402.2900085449219,404.4200134277344,266252,0.0,0.0
2024-05-29 12:30:00-04:00,404.5498962402344,405.2200012207031,404.04010009765625,405.1600036621094,262560,0.0,0.0
2024-05-29 13:30:00-04:00,405.11480712890625,405.8699951171875,404.7215881347656,405.489990234375,212954,0.0,0.0
2024-05-29 14:30:00-04:00,405.5,405.5249938964844,404.2699890136719,405.260009765625,256472,0.0,0.0
2024-05-29 15:30:00-04:00,405.24029541015625,405.30999755859375,403.44000244140625,404.17999267578125,405022,0.0,0.0
2024-05-30 09:30:00-04:00,403.7699890136719,405.2049865722656,402.7701110839844,403.7507019042969,507182,0.0,0.0
2024-05-30 10:30:00-04:00,403.7777099609375,407.0498962402344,403.7300109863281,406.5899963378906,255857,0.0,0.0
2024-05-30 11:30:00-04:00,406.5400085449219,407.7398986816406,406.5400085449219,407.0899963378906,273152,0.0,0.0
2024-05-30 12:30:00-04:00,407.04998779296875,407.8081970214844,407.010009765625,407.739990234375,200423,0.0,0.0
2024-05-30 13:30:00-04:00,407.6300048828125,408.69000244140625,407.6300048828125,408.54998779296875,244616,0.0,0.0
2024-05-30 14:30:00-04:00,408.4800109863281,409.0400085449219,408.239990234375,408.5899963378906,221514,0.0,0.0
2024-05-30 15:30:00-04:00,408.6499938964844,408.82000732421875,407.3900146484375,408.57000732421875,392383,0.0,0.0
2024-05-31 09:30:00-04:00,408.0899963378906,409.30999755859375,406.8800048828125,408.239990234375,387822,0.0,0.0
2024-05-31 10:30:00-04:00,407.9700012207031,410.44989013671875,407.95001220703125,410.239990234375,318938,0.0,0.0
2024-05-31 11:30:00-04:00,410.2349853515625,410.46990966796875,409.17999267578125,409.8500061035156,225779,0.0,0.0
2024-05-31 12:30:00-04:00,409.8399963378906,410.1099853515625,408.82000732421875,408.94000244140625,326646,0.0,0.0
2024-05-31 13:30:00-04:00,409.0286865234375,410.760009765625,408.3599853515625,410.55999755859375,207763,0.0,0.0
2024-05-31 14:30:00-04:00,410.5799865722656,411.2778015136719,410.260009765625,410.8299865722656,417689,0.0,0.0
2024-05-31 15:30:00-04:00,410.80999755859375,415.3999938964844,410.4599914550781,414.79998779296875,1002837,0.0,0.0
2024-06-03 09:30:00-04:00,414.8900146484375,414.8900146484375,409.5199890136719,410.872314453125,840936,0.0,0.0
2024-06-03 10:30:00-04:00,410.70001220703125,410.8999938964844,408.7799987792969,409.375,417482,0.0,0.0
2024-06-03 11:30:00-04:00,409.3699951171875,416.7200012207031,408.7900085449219,412.385009765625,1633303,0.0,0.0
2024-06-03 12:30:00-04:00,412.29998779296875,413.260009765625,410.4800109863281,411.69000244140625,299140,0.0,0.0
2024-06-03 13:30:00-04:00,411.7300109863281,413.122802734375,411.6600036621094,412.489990234375,232124,0.0,0.0
2024-06-03 14:30:00-04:00,412.4549865722656,413.6199951171875,411.3399963378906,413.2650146484375,359832,0.0,0.0
2024-06-03 15:30:00-04:00,413.2699890136719,414.9800109863281,411.7401123046875,414.9700012207031,462952,0.0,0.0
2024-06-04 09:30:00-04:00,414.8500061035156,415.8900146484375,411.42999267578125,411.739990234375,739097,0.0,0.0
2024-06-04 10:30:00-04:00,411.9200134277344,411.92999267578125,407.4800109863281,407.6199951171875,590337,0.0,0.0
2024-06-04 11:30:00-04:00,407.55499267578125,407.94000244140625,406.4400939941406,407.6700134277344,397577,0.0,0.0
2024-06-04 12:30:00-04:00,407.6700134277344,407.739990234375,406.5899963378906,407.7300109863281,312081,0.0,0.0
2024-06-04 13:30:00-04:00,407.8399963378906,410.1600036621094,407.05999755859375,409.2850036621094,391197,0.0,0.0
2024-06-04 14:30:00-04:00,409.2300109863281,409.29998779296875,407.5899963378906,408.41290283203125,308206,0.0,0.0
2024-06-04 15:30:00-04:00,408.3900146484375,409.69000244140625,408.2349853515625,409.42999267578125,421394,0.0,0.0
2024-06-05 09:30:00-04:00,410.1000061035156,410.2749938964844,405.7699890136719,406.44000244140625,505717,0.0,0.0
2024-06-05 10:30:00-04:00,406.50689697265625,407.9200134277344,406.42999267578125,407.7699890136719,349009,0.0,0.0
2024-06-05 11:30:00-04:00,407.8900146484375,408.1899108886719,407.0296936035156,407.8038024902344,222323,0.0,0.0
2024-06-05 12:30:00-04:00,407.79998779296875,408.1700134277344,407.4599914550781,407.760009765625,200957,0.0,0.0
2024-06-05 13:30:00-04:00,407.8299865722656,408.4200134277344,407.4419860839844,408.23779296875,210803,0.0,0.0
2024-06-05 14:30:00-04:00,408.1300048828125,409.4599914550781,408.1099853515625,408.82000732421875,311580,0.0,0.0
2024-06-05 15:30:00-04:00,408.6700134277344,409.95001220703125,408.6700134277344,409.8500061035156,331160,0.0,0.0
2024-06-06 09:30:00-04:00,410.4200134277344,410.95989990234375,408.8299865722656,410.0880126953125,389351,0.0,0.0
2024-06-06 10:30:00-04:00,410.0006103515625,410.010009765625,407.5780029296875,409.2200012207031,297547,0.0,0.0
2024-06-06 11:30:00-04:00,409.20001220703125,409.5599060058594,407.4599914550781,407.63360595703125,248429,0.0,0.0
2024-06-06 12:30:00-04:00,407.5400085449219,409.8699951171875,407.3800048828125,409.70001220703125,305846,0.0,0.0
2024-06-06 13:30:00-04:00,409.6017150878906,410.739990234375,409.0743103027344,409.55499267578125,347312,0.0,0.0
2024-06-06 14:30:00-04:00,409.45001220703125,411.19000244140625,409.3900146484375,411.1099853515625,297330,0.0,0.0
2024-06-06 15:30:00-04:00,411.1400146484375,411.239990234375,410.5899963378906,411.239990234375,321739,0.0,0.0
2024-06-07 09:30:00-04:00,411.2799987792969,414.5,409.8450927734375,414.260009765625,491300,0.0,0.0
2024-06-07 10:30:00-04:00,414.260009765625,415.5400085449219,413.5899963378906,413.9200134277344,419468,0.0,0.0
2024-06-07 11:30:00-04:00,414.0,415.239990234375,413.5899963378906,415.04998779296875,253239,0.0,0.0
2024-06-07 12:30:00-04:00,415.2099914550781,415.8800048828125,414.3349914550781,415.4100036621094,273560,0.0,0.0
2024-06-07 13:30:00-04:00,415.29998779296875,415.8399963378906,414.8800048828125,415.4800109863281,207641,0.0,0.0
2024-06-07 14:30:00-04:00,415.4750061035156,415.54998779296875,414.04998779296875,414.17999267578125,239217,0.0,0.0
2024-06-07 15:30:00-04:00,414.1099853515625,414.6700134277344,413.5,413.7799987792969,392319,0.0,0.0
2024-06-10 09:30:00-04:00,413.3399963378906,413.94000244140625,410.4200134277344,412.68499755859375,388655,0.0,0.0
2024-06-10 10:30:00-04:00,412.5199890136719,412.70001220703125,409.9700012207031,410.489990234375,258354,0.0,0.0
2024-06-10 11:30:00-04:00,410.5,410.6600036621094,409.8800048828125,410.19000244140625,226566,0.0,0.0
2024-06-10 12:30:00-04:00,410.2090148925781,410.5299987792969,409.4100036621094,409.65008544921875,189539,0.0,0.0
2024-06-10 13:30:00-04:00,409.7139892578125,410.7799987792969,409.6700134277344,410.17999267578125,235664,0.0,0.0
2024-06-10 14:30:00-04:00,410.1099853515625,410.4205017089844,409.510009765625,409.7300109863281,247785,0.0,0.0
2024-06-10 15:30:00-04:00,409.760009765625,411.17999267578125,409.2699890136719,411.07000732421875,535338,0.0,0.0
