Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-01 00:00:00-05:00,400.90116216901424,424.6189842308753,390.5289409962396,411.8957214355469,973043500,0.0,0.0,0.0
2024-02-01 00:00:00-05:00,413.6936048839903,435.2283009189671,412.72551999779967,433.65765380859375,865903700,0.0,0.0,0.0
2024-03-01 00:00:00-05:00,434.5466596362351,443.8717825841483,427.47378917130624,438.6066589355469,905018600,0.573,0.0,0.0
2024-04-01 00:00:00-04:00,440.13624536460094,442.66843340085273,408.5827844521014,419.9776306152344,1066502500,0.0,0.0,0.0
2024-05-01 00:00:00-04:00,418.5532347297664,455.5766182493989,416.0606208378379,445.8138427734375,730428700,0.0,0.0,0.0
2024-06-01 00:00:00-04:00,449.6319382785311,481.9074780306128,443.0343823079785,473.90533447265625,548332200,0.762,0.0,0.0
2024-07-01 00:00:00-04:00,475.5799593259276,498.84178741844323,449.93048866873477,466.69329833984375,801528400,0.0,0.0,0.0
2024-08-01 00:00:00-04:00,467.37695407115666,481.0289248258879,419.5157978842683,471.84503173828125,908585600,0.0,0.0,0.0
2024-09-01 00:00:00-04:00,466.2871218063367,489.1130666225818,444.02588840077124,483.5353698730469,694688500,0.677,0.0,0.0
2024-10-01 00:00:00-04:00,483.847794128886,497.3899702030647,473.6291330374246,480.0281982421875,660176300,0.0,0.0,0.0
2024-11-01 00:00:00-04:00,481.6651593470936,511.5075820551119,480.4250327782288,505.71368408203125,567617900,0.0,0.0,0.0
2024-12-01 00:00:00-05:00,506.97366156616164,534.8914048396975,505.26724623163994,507.1919250488281,627410500,0.835,0.0,0.0
2025-01-01 00:00:00-05:00,511.0603398378371,530.457400020731,496.5523315514808,519.0,677012800,0.0,0.0,0.0
2025-02-01 00:00:00-05:00,510.235597233062,537.4034078683474,493.79980536884244,504.9690246582031,585211300,0.0,0.0,0.0
2025-03-01 00:00:00-05:00,508.29794896213934,509.80836363739803,454.44928676551126,465.96630859375,981927300,0.716,0.0,0.0
2025-04-01 00:00:00-04:00,465.04893861306164,477.2498902026766,400.45164585721363,473.1795959472656,1366190800,0.0,0.0,0.0
2025-05-01 00:00:00-04:00,481.0813640802919,523.9438680336193,474.4832966660481,516.609375,993265800,0.0,0.0,0.0
2025-06-01 00:00:00-04:00,514.7484099019772,550.1371125255121,513.4845081414827,548.9827270507812,924943900,0.591,0.0,0.0
2025-07-01 00:00:00-04:00,547.696297770848,572.5042065088016,542.6450465387833,562.9197998046875,921977100,0.0,0.0,0.0
2025-08-01 00:00:00-04:00,556.7627111358528,581.1621044067927,549.6391371406838,568.2899169921875,964846900,0.0,0.0,0.0
2025-09-01 00:00:00-04:00,559.2334877829082,600.6397383183182,557.4700162605584,598.1489868164062,1132872000,0.694,0.0,0.0
2025-10-01 00:00:00-04:00,595.6505044511972,635.3891597301573,587.5511703819868,627.4693603515625,1324908800,0.0,0.0,0.0
2025-11-01 00:00:00-04:00,633.494008573027,634.2022239624985,579.2623527223996,617.6743774414062,1227811700,0.0,0.0,0.0
2025-12-01 00:00:00-05:00,612.0686247710227,627.608998543832,598.7526181667303,612.7468872070312,1064378800,0.794,0.0,0.0
2026-01-01 00:00:00-05:00,619.2791348603942,635.7982835294155,606.2855090436922,621.0868530273438,1085285800,0.0,0.0,0.0
2026-02-01 00:00:00-05:00,617.9208728508111,629.1866360583256,592.5928237563534,606.5252075195312,1306657000,0.0,0.0,0.0
2026-03-01 00:00:00-05:00,598.1058151252993,612.5176354885075,554.9002845570678,576.453125,1630084200,0.733,0.0,0.0
2026-04-01 00:00:00-04:00,581.47998046875,668.9000244140625,571.9199829101562,667.739990234375,918162900,0.0,0.0,0.0
2026-05-01 00:00:00-04:00,669.1599731445312,722.1199951171875,668.7999877929688,717.5399780273438,680693275,0.0,0.0,0.0
