Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-01 00:00:00-05:00,361.14862275033954,364.0586439080577,359.61653895549034,360.9944763183594,21803500,0.0,0.0,0.0
2024-01-08 00:00:00-05:00,359.79961322344155,364.4729671299765,358.9034937523216,362.21820068359375,18466900,0.0,0.0,0.0
2024-01-15 00:00:00-05:00,361.31242241634635,365.5521547900841,357.8146336510521,364.8102111816406,18004600,0.213,0.0,0.0
2024-01-22 00:00:00-05:00,366.0685964631408,368.42106364254744,364.3621059318553,367.4183654785156,19270800,0.0,0.0,0.0
2024-01-29 00:00:00-05:00,367.33158948306897,373.8683551741251,366.8881002643223,372.5571594238281,16952700,0.0,0.0,0.0
2024-02-05 00:00:00-05:00,372.1425832175851,373.7526848438676,368.41142433681955,372.8464050292969,15143100,0.0,0.0,0.0
2024-02-12 00:00:00-05:00,372.6246444185497,375.4399022329813,366.81097211718634,372.3354187011719,18472200,0.612,0.0,0.0
2024-02-19 00:00:00-05:00,372.26663606940105,379.34481659537533,370.1518664883421,377.8384094238281,14765600,0.0,0.0,0.0
2024-02-26 00:00:00-05:00,378.0025448184329,378.92955772354827,374.2847978282356,377.8673400878906,14483300,0.0,0.0,0.0
2024-03-04 00:00:00-05:00,375.97473347023765,377.80945720884694,371.69692355771093,374.66143798828125,17442600,0.0,0.0,0.0
2024-03-11 00:00:00-04:00,373.62817501968124,379.29651857105154,372.2569432221642,373.7054138183594,18304700,0.933,0.0,0.0
2024-03-18 00:00:00-04:00,375.9081672774514,386.04273379840083,375.0563557221683,381.8901672363281,17692800,0.0,0.0,0.0
2024-03-25 00:00:00-04:00,381.29963076672226,385.7909594008403,380.0509514280299,385.0166015625,13513300,0.0,0.0,0.0
2024-04-01 00:00:00-04:00,385.07472642766356,385.2973388263795,373.24622725624573,376.4017639160156,20871800,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,376.58568454832835,377.64078934828325,366.6737610084865,367.6997985839844,20886200,0.0,0.0,0.0
2024-04-15 00:00:00-04:00,371.04892430932574,371.5232458580449,364.0893035084424,367.63201904296875,23496900,0.198,0.0,0.0
2024-04-22 00:00:00-04:00,369.694068219817,373.4323482785445,365.57807066994,370.2557678222656,19766400,0.0,0.0,0.0
