Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-02 00:00:00-05:00,361.14859485184684,364.0586157847678,361.14859485184684,363.3551940917969,5776300,0.0,0.0,0.0
2024-01-03 00:00:00-05:00,361.8905885363498,362.4205440764722,360.2814021518133,360.5801086425781,6393600,0.0,0.0,0.0
2024-01-04 00:00:00-05:00,361.1871936574074,363.4805115874905,360.76321743137345,360.89813232421875,4251900,0.0,0.0,0.0
2024-01-05 00:00:00-05:00,360.792103990071,362.5458210656975,359.61653895549034,360.9944763183594,5381700,0.0,0.0,0.0
2024-01-08 00:00:00-05:00,359.7996421673125,363.23961907889407,358.9035226241047,363.1143493652344,4604900,0.0,0.0,0.0
2024-01-09 00:00:00-05:00,361.1486065846725,361.9194857402391,360.1368626126555,361.5147705078125,3230900,0.0,0.0,0.0
2024-01-10 00:00:00-05:00,361.8713664905459,363.7214474527571,361.6208564417963,363.22039794921875,2718700,0.0,0.0,0.0
2024-01-11 00:00:00-05:00,364.01043462641496,364.3476924223433,360.6186545273862,363.43231201171875,4095700,0.0,0.0,0.0
2024-01-12 00:00:00-05:00,363.7310541386071,364.472997837523,361.0812174061466,362.2182312011719,3816700,0.0,0.0,0.0
2024-01-16 00:00:00-05:00,361.3125156144306,361.8521164517636,358.4892416965919,360.05023193359375,4471600,0.0,0.0,0.0
2024-01-17 00:00:00-05:00,358.20979921952227,360.1369534856663,357.8147290662379,359.14447021484375,4361000,0.0,0.0,0.0
2024-01-18 00:00:00-05:00,358.67224863745054,361.65931357394817,357.83391201336497,361.15826416015625,3953400,0.0,0.0,0.0
2024-01-19 00:00:00-05:00,362.2988002819043,365.7600046314154,361.0261485402434,365.01763916015625,5218600,0.213,0.0,0.0
2024-01-22 00:00:00-05:00,366.0686558362711,367.4087744044337,365.4805242346507,366.4350280761719,5433400,0.0,0.0,0.0
2024-01-23 00:00:00-05:00,365.75039212461405,366.2228333126586,364.4199245352645,365.44189453125,3110100,0.0,0.0,0.0
2024-01-24 00:00:00-05:00,366.56984910896125,366.96514377225606,364.38129660134257,364.5259094238281,3967200,0.0,0.0,0.0
2024-01-25 00:00:00-05:00,365.47090236751666,366.9074393262691,364.36216440633626,366.830322265625,3539100,0.0,0.0,0.0
2024-01-26 00:00:00-05:00,366.34814007340185,368.421002440824,366.3192175072612,367.4183044433594,3221000,0.0,0.0,0.0
2024-01-29 00:00:00-05:00,367.33155930486384,369.65510367004254,366.88807012255216,369.5586853027344,2730900,0.0,0.0,0.0
2024-01-30 00:00:00-05:00,369.08621732249094,371.1398075999967,368.7680397011237,370.6962890625,2747900,0.0,0.0,0.0
2024-01-31 00:00:00-05:00,371.3905602166446,371.9786917303818,367.65940140329496,367.6883239746094,4476600,0.0,0.0,0.0
2024-02-01 00:00:00-05:00,367.71727160518026,371.3327403796598,367.3027049138357,371.2845458984375,3652500,0.0,0.0,0.0
2024-02-02 00:00:00-05:00,370.2142832133913,373.8683245491419,369.49118959253786,372.55712890625,3344800,0.0,0.0,0.0
2024-02-05 00:00:00-05:00,372.1425446836472,372.1425446836472,368.4113861892289,369.8190002441406,3761600,0.0,0.0,0.0
2024-02-06 00:00:00-05:00,370.14689963068037,371.5448632900387,369.7419541664127,371.2652587890625,2507800,0.0,0.0,0.0
2024-02-07 00:00:00-05:00,372.5283554432474,373.55032581594475,371.81488277763054,372.7983093261719,2797600,0.0,0.0,0.0
2024-02-08 00:00:00-05:00,373.5695782514224,373.75276438629544,371.6799011694724,373.4538879394531,2549800,0.0,0.0,0.0
2024-02-09 00:00:00-05:00,373.2994838272467,373.59836016155566,371.9207924241115,372.8463439941406,3526300,0.0,0.0,0.0
2024-02-12 00:00:00-05:00,372.6246761029137,375.4399341567274,372.57648162017233,374.1865539550781,2412200,0.0,0.0,0.0
2024-02-13 00:00:00-05:00,371.25555405328515,371.3423217569516,366.8109233026715,369.0862731933594,5325300,0.0,0.0,0.0
2024-02-14 00:00:00-05:00,370.22396609387476,370.75422302620836,368.36321207575014,370.5035705566406,3465200,0.0,0.0,0.0
2024-02-15 00:00:00-05:00,371.3712222103919,374.39855868591707,371.0723458857534,374.3214416503906,3497200,0.0,0.0,0.0
2024-02-16 00:00:00-05:00,373.8696236336268,374.91250959922,372.45012113068356,372.92327880859375,3772300,0.612,0.0,0.0
2024-02-20 00:00:00-05:00,372.2665592766836,373.29014267006755,371.3298805711297,372.44036865234375,3295700,0.0,0.0,0.0
2024-02-21 00:00:00-05:00,371.73541231098113,372.90386624618236,370.1517667618316,372.7879638671875,3027600,0.0,0.0,0.0
2024-02-22 00:00:00-05:00,375.01864648680095,378.02182391441823,374.5841230279286,377.123779296875,4990700,0.0,0.0,0.0
2024-02-23 00:00:00-05:00,378.3115670893542,379.34481659537533,377.4907906007996,377.8384094238281,3451600,0.0,0.0,0.0
2024-02-26 00:00:00-05:00,378.00259332365556,378.9296063477251,376.83413903989185,377.2879943847656,1914100,0.0,0.0,0.0
2024-02-27 00:00:00-05:00,376.9499831316455,377.0369173024719,375.39530546516517,376.2740478515625,2370900,0.0,0.0,0.0
2024-02-28 00:00:00-05:00,374.61308695067953,376.3512397045952,374.28477051801576,376.216064453125,3313900,0.0,0.0,0.0
2024-02-29 00:00:00-05:00,377.2687076828798,377.6742630049341,375.10566738068604,376.55413818359375,3026900,0.0,0.0,0.0
2024-03-01 00:00:00-05:00,376.457503663768,378.15702241161136,375.5208248581257,377.8673400878906,3857500,0.0,0.0,0.0
2024-03-04 00:00:00-05:00,375.97471921137907,377.8094428804063,375.97471921137907,376.8244934082031,3048500,0.0,0.0,0.0
2024-03-05 00:00:00-05:00,375.6270790669559,375.9167908962742,371.69691752519606,372.92327880859375,4132400,0.0,0.0,0.0
2024-03-06 00:00:00-05:00,375.14420668235914,375.7622349291315,372.86529382810573,373.87921142578125,3039100,0.0,0.0,0.0
2024-03-07 00:00:00-05:00,375.7043178145305,376.3319825249043,374.5068953920404,375.1056213378906,2965700,0.0,0.0,0.0
2024-03-08 00:00:00-05:00,374.90275817029885,377.0078908939327,374.3909664713929,374.6613464355469,4256900,0.0,0.0,0.0
2024-03-11 00:00:00-04:00,373.6281591041774,375.2987095936676,372.25692736507096,375.0766296386719,3396000,0.0,0.0,0.0
2024-03-12 00:00:00-04:00,375.86834211854136,377.9927768160129,374.51644252433266,377.3651123046875,3275800,0.0,0.0,0.0
2024-03-13 00:00:00-04:00,378.23434240925667,379.2965601901959,376.6603328069394,377.7804870605469,2788700,0.0,0.0,0.0
2024-03-14 00:00:00-04:00,378.69781709425433,378.92956295643125,374.516548859153,376.6699523925781,4471900,0.0,0.0,0.0
2024-03-15 00:00:00-04:00,375.31772313692466,376.7890448575642,373.672204817614,374.6014404296875,4372300,0.933,0.0,0.0
2024-03-18 00:00:00-04:00,375.90817635115695,376.4018170518066,375.0660538513592,375.30804443359375,2060600,0.0,0.0,0.0
2024-03-19 00:00:00-04:00,375.7242575406623,378.56038004767305,375.0563611769135,378.37646484375,3303800,0.0,0.0,0.0
2024-03-20 00:00:00-04:00,377.6504847228158,382.55806066410224,377.39883461240004,382.3354187011719,4823900,0.0,0.0,0.0
2024-03-21 00:00:00-04:00,383.61315091630524,386.0427458317849,383.1291697484322,385.00701904296875,4348400,0.0,0.0,0.0
2024-03-22 00:00:00-04:00,385.01666535025703,385.3070422027784,381.8514099584595,381.89013671875,3156100,0.0,0.0,0.0
2024-03-25 00:00:00-04:00,381.29967278188815,381.522285176515,380.2349084819511,380.3607482910156,2535600,0.0,0.0,0.0
2024-03-26 00:00:00-04:00,381.06737272334055,381.6384669079047,380.0510241734977,380.26397705078125,3395400,0.0,0.0,0.0
2024-03-27 00:00:00-04:00,382.34510847496085,384.84243821125665,381.83208963758904,384.8230895996094,4427300,0.0,0.0,0.0
2024-03-28 00:00:00-04:00,385.30700890750734,385.79098997979634,384.3196981543876,385.0166320800781,3155000,0.0,0.0,0.0
2024-04-01 00:00:00-04:00,385.07473575036227,385.2973481544676,382.08373604854717,382.66448974609375,3825200,0.0,0.0,0.0
2024-04-02 00:00:00-04:00,379.4121419308792,379.57670850121065,377.7762834616967,379.0830383300781,4034900,0.0,0.0,0.0
2024-04-03 00:00:00-04:00,379.1314726986016,380.33176605709843,377.49561402198816,378.7249450683594,3547000,0.0,0.0,0.0
2024-04-04 00:00:00-04:00,381.40622024612236,381.60948407733684,373.246304368821,373.65283203125,5041200,0.0,0.0,0.0
2024-04-05 00:00:00-04:00,373.97225954165754,377.9409110815659,373.71089080184476,376.4018249511719,4423500,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,376.5857394321486,377.6408443858751,376.1211364109209,376.6341552734375,2431300,0.0,0.0,0.0
2024-04-09 00:00:00-04:00,377.1374251008113,377.4859068511955,373.3720675288672,376.3824157714844,4003900,0.0,0.0,0.0
2024-04-10 00:00:00-04:00,372.58806071388517,373.60440931075783,370.7585977916763,372.1911926269531,5173100,0.0,0.0,0.0
2024-04-11 00:00:00-04:00,373.12035147106855,373.71079417230715,369.7615218060527,372.22015380859375,3972800,0.0,0.0,0.0
2024-04-12 00:00:00-04:00,370.0616287305658,370.661760572099,366.6737610084865,367.6997985839844,5305100,0.0,0.0,0.0
2024-04-15 00:00:00-04:00,371.04901636455634,371.5233380309521,364.5346482729497,365.2218933105469,4870700,0.0,0.0,0.0
